,Run #,Region,Year,Output Name,Value
0,1,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
1,2,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
2,3,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
3,4,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
4,5,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
5,6,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
6,7,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
7,8,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
8,9,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e, 
9,10,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
10,11,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
11,12,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
12,13,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
13,14,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
14,15,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
15,16,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
16,17,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
17,18,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
18,19,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
19,20,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
20,21,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
21,22,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
22,23,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
23,24,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
24,25,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
25,26,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
26,27,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
27,28,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
28,29,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
29,30,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
30,31,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
31,32,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
32,33,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
33,34,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
34,35,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
35,36,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
36,37,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
37,38,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
38,39,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
39,40,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
40,41,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
41,42,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
42,43,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
43,44,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
44,45,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
45,46,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
46,47,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
47,48,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
48,49,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
49,50,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
50,51,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
51,52,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
52,53,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
53,54,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
54,55,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
55,56,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
56,57,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
57,58,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
58,59,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
59,60,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
60,61,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
61,62,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
62,63,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
63,64,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
64,65,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
65,66,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
66,67,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
67,68,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
68,69,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
69,70,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
70,71,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
71,72,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
72,73,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
73,74,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
74,75,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
75,76,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
76,77,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
77,78,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
78,79,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
79,80,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
80,81,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
81,82,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
82,83,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
83,84,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
84,85,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
85,86,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
86,87,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
87,88,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
88,89,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
89,90,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
90,91,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
91,92,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
92,93,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
93,94,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
94,95,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
95,96,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
96,97,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
97,98,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
98,99,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
99,100,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
100,101,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
101,102,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
102,103,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
103,104,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
104,105,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
105,106,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
106,107,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
107,108,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
108,109,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
109,110,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
110,111,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
111,112,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
112,113,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
113,114,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
114,115,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
115,116,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
116,117,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
117,118,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
118,119,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
119,120,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
120,121,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
121,122,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
122,123,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
123,124,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
124,125,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
125,126,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
126,127,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
127,128,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
128,129,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
129,130,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
130,131,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
131,132,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
132,133,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
133,134,REA,Unnamed: 21,carbon_price_USD2007_per_ton_CO2e,
