Run #,cluster
1,2
2,2
3,2
4,2
5,2
6,1
7,2
8,2
9,1
10,2
11,2
12,1
13,2
14,1
15,1
16,0
17,2
18,2
19,2
20,2
21,1
22,2
23,2
24,2
25,2
26,1
27,2
28,1
29,2
30,1
31,2
32,2
33,1
34,2
35,2
36,0
37,2
38,0
39,2
40,1
41,2
42,0
43,0
44,2
45,0
46,2
47,1
48,2
49,2
50,2
51,2
52,2
53,2
54,1
55,1
56,2
57,1
58,1
59,0
60,1
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,0
69,1
70,0
71,2
72,1
73,2
74,0
75,2
76,2
77,2
78,0
79,2
80,0
81,0
82,0
83,1
84,1
85,2
86,0
87,2
88,0
89,2
90,0
91,1
92,2
93,2
94,2
95,1
96,2
97,0
98,0
99,2
100,2
101,0
102,0
103,0
104,1
105,2
106,0
107,0
108,0
109,1
110,1
111,1
112,2
113,0
114,2
115,2
116,2
117,1
118,0
119,2
120,0
121,2
122,2
123,1
124,2
125,0
126,2
127,2
128,2
129,2
130,2
131,2
132,1
133,2
134,1
135,2
136,1
137,2
138,1
139,0
140,2
141,1
142,2
143,1
144,1
145,2
146,0
147,0
148,2
149,0
150,2
151,1
152,0
153,2
154,1
155,1
156,2
157,2
158,1
159,2
160,1
161,2
162,0
163,2
164,0
165,2
166,2
167,2
168,2
169,1
170,2
171,0
172,0
173,1
174,1
175,2
176,2
177,1
178,0
179,2
180,1
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,1
189,1
190,0
191,2
192,2
193,1
194,2
195,0
196,2
197,1
198,2
199,2
200,0
201,1
202,2
203,1
204,2
205,0
206,0
207,2
208,1
209,2
210,0
211,0
212,1
213,0
214,2
215,2
216,2
217,0
218,2
219,1
220,0
221,1
222,0
223,2
224,1
225,2
226,0
227,2
228,1
229,2
230,1
231,2
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,2
241,2
242,2
243,2
244,1
245,2
246,0
247,2
248,0
249,1
250,2
251,2
252,2
253,2
254,0
255,0
256,0
257,2
258,2
259,1
260,2
261,2
262,2
263,1
264,0
265,1
266,2
267,1
268,2
269,1
270,2
271,2
272,0
273,0
274,2
275,0
276,0
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,0
285,2
286,2
287,2
288,2
289,2
290,0
291,2
292,2
293,2
294,1
295,0
296,1
297,1
298,1
299,2
300,1
301,2
302,2
303,0
304,2
305,1
306,2
307,0
308,1
309,1
310,2
311,1
312,2
313,2
314,2
315,1
316,2
317,2
318,1
319,2
320,2
321,2
322,2
323,2
324,0
325,2
326,2
327,0
328,2
329,1
330,2
331,1
332,2
333,0
334,2
335,0
336,2
337,0
338,2
339,2
340,2
341,2
342,0
343,1
344,0
345,2
346,0
347,2
348,1
349,2
350,2
351,1
352,1
353,0
354,2
355,2
356,2
357,1
358,2
359,2
360,2
361,0
362,1
363,1
364,0
365,2
366,1
367,2
368,2
369,2
370,2
371,2
372,2
373,0
374,2
375,2
376,2
377,1
378,2
379,2
380,1
381,2
382,2
383,2
384,0
385,0
386,1
387,2
388,2
389,2
390,1
391,1
392,2
393,2
394,2
395,0
396,1
397,2
398,1
399,2
400,2
