Run #,cluster
1,0
2,0
3,0
4,0
5,0
6,2
7,0
8,0
9,2
10,0
11,0
12,2
13,0
14,2
15,2
16,1
17,0
18,0
19,0
20,0
21,2
22,0
23,0
24,0
25,0
26,2
27,0
28,2
29,0
30,2
31,0
32,0
33,2
34,0
35,0
36,1
37,0
38,1
39,0
40,2
41,0
42,1
43,1
44,0
45,1
46,0
47,2
48,0
49,0
50,0
51,0
52,0
53,0
54,2
55,2
56,0
57,2
58,2
59,1
60,2
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,2
70,1
71,0
72,2
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,1
82,1
83,2
84,2
85,0
86,1
87,0
88,1
89,0
90,1
91,2
92,0
93,0
94,0
95,2
96,0
97,1
98,1
99,0
100,0
101,1
102,1
103,1
104,2
105,0
106,1
107,1
108,1
109,2
110,2
111,2
112,0
113,1
114,0
115,0
116,0
117,2
118,1
119,0
120,1
121,0
122,0
123,2
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,2
133,0
134,2
135,0
136,2
137,0
138,2
139,1
140,0
141,2
142,0
143,2
144,2
145,0
146,1
147,1
148,0
149,1
150,0
151,2
152,1
153,0
154,2
155,2
156,0
157,0
158,2
159,0
160,2
161,0
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,2
170,0
171,1
172,1
173,2
174,2
175,0
176,0
177,2
178,1
179,0
180,2
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,2
189,2
190,1
191,0
192,0
193,2
194,0
195,1
196,0
197,2
198,0
199,0
200,1
201,2
202,0
203,2
204,0
205,1
206,1
207,0
208,2
209,0
210,1
211,1
212,2
213,1
214,0
215,0
216,0
217,1
218,0
219,2
220,1
221,2
222,1
223,0
224,2
225,0
226,1
227,0
228,2
229,0
230,2
231,0
232,1
233,1
234,2
235,1
236,2
237,1
238,2
239,1
240,0
241,0
242,0
243,0
244,2
245,0
246,1
247,0
248,1
249,2
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,0
259,2
260,0
261,0
262,0
263,2
264,1
265,2
266,0
267,2
268,0
269,2
270,0
271,0
272,1
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,2
295,1
296,2
297,2
298,2
299,0
300,2
301,0
302,0
303,1
304,0
305,2
306,0
307,1
308,2
309,2
310,0
311,2
312,0
313,0
314,0
315,2
316,0
317,0
318,2
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,1
328,0
329,2
330,0
331,2
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,2
344,1
345,0
346,1
347,0
348,2
349,0
350,0
351,2
352,2
353,1
354,0
355,0
356,0
357,2
358,0
359,0
360,0
361,1
362,2
363,2
364,1
365,0
366,2
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,2
378,0
379,0
380,2
381,0
382,0
383,0
384,1
385,1
386,2
387,0
388,0
389,0
390,2
391,2
392,0
393,0
394,0
395,1
396,2
397,0
398,2
399,0
400,0
