Run #,cluster
1,0
2,2
3,1
4,1
5,1
6,2
7,1
8,1
9,2
10,0
11,1
12,0
13,1
14,1
15,0
16,2
17,0
18,1
19,2
20,1
21,0
22,1
23,1
24,2
25,0
26,2
27,1
28,0
29,0
30,1
31,2
32,1
33,0
34,1
35,1
36,0
37,1
38,2
39,1
40,2
41,1
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,2
54,1
55,1
56,1
57,0
58,2
59,1
60,2
61,1
62,0
63,1
64,2
65,1
66,1
67,2
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,2
78,1
79,2
80,2
81,2
82,1
83,1
84,2
85,2
86,1
87,0
88,1
89,1
90,1
91,0
92,2
93,0
94,0
95,0
96,2
97,0
98,1
99,2
100,0
101,0
102,2
103,0
104,2
105,2
106,1
107,1
108,2
109,1
110,2
111,0
112,2
113,2
114,2
115,0
116,2
117,0
118,1
119,1
120,2
121,0
122,1
123,2
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,2
136,2
137,0
138,1
139,2
140,1
141,2
142,1
143,2
144,0
145,1
146,0
147,2
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,2
166,1
167,0
168,2
169,2
170,2
171,1
172,1
173,1
174,2
175,1
176,1
177,2
178,0
179,1
180,1
181,1
182,2
183,0
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,0
192,1
193,2
194,1
195,2
196,1
197,2
198,1
199,2
200,2
201,0
202,2
203,0
204,1
205,0
206,1
207,2
208,2
209,1
210,1
211,1
212,0
213,2
214,2
215,2
216,0
217,0
218,2
219,0
220,0
221,2
222,1
223,2
224,0
225,2
226,2
227,0
228,2
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,2
239,0
240,0
241,1
242,2
243,0
244,1
245,2
246,1
247,2
248,0
249,1
250,2
251,0
252,0
253,1
254,2
255,1
256,0
257,1
258,2
259,1
260,2
261,2
262,0
263,0
264,1
265,0
266,1
267,2
268,2
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,0
284,1
285,0
286,2
287,0
288,0
289,2
290,1
291,0
292,2
293,2
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,2
305,1
306,1
307,2
308,2
309,1
310,0
311,0
312,1
313,1
314,1
315,2
316,1
317,2
318,0
319,0
320,2
321,2
322,0
323,2
324,1
325,2
326,1
327,2
328,0
329,1
330,1
331,2
332,1
333,1
334,2
335,1
336,0
337,1
338,1
339,2
340,1
341,0
342,1
343,1
344,0
345,0
346,0
347,2
348,2
349,1
350,1
351,1
352,1
353,1
354,2
355,1
356,1
357,1
358,2
359,0
360,0
361,1
362,0
363,2
364,1
365,1
366,0
367,2
368,1
369,2
370,2
371,2
372,1
373,1
374,0
375,0
376,0
377,1
378,2
379,2
380,1
381,0
382,2
383,1
384,1
385,1
386,0
387,1
388,2
389,1
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,2
398,2
399,1
400,2
