Full Output Name,Display Name
consumption_billion_USD2007,Consumption (Billion USD2007)
GDP_billion_USD2007,GDP (Billion USD2007)
population_million_people,Population (Million People)
primary_energy_use_Bioelec_No_CCS_EJ,Primary Energy Use Bioelec No CCS (EJ)
primary_energy_use_Biofuel_FirstGen_EJ,Primary Energy Use Biofuel Firstgen (EJ)
primary_energy_use_Biofuel_SecondGen_EJ,Primary Energy Use Biofuel Secondgen (EJ)
primary_energy_use_Biomass_CCS_EJ,Primary Energy Use Biomass CCS (EJ)
primary_energy_use_Biomass_Total_EJ,Primary Energy Use Biomass Total (EJ)
primary_energy_use_Coal_CCS_EJ,Primary Energy Use Coal CCS (EJ)
primary_energy_use_Coal_No_CCS_EJ,Primary Energy Use Coal No CCS (EJ)
primary_energy_use_Coal_Total_EJ_pol,Primary Energy Use Coal Total (EJ)
primary_energy_use_fossil_total_EJ_pol,Primary Energy Use Fossil Total (EJ)
primary_energy_use_Gas_CCS_EJ,Primary Energy Use Gas CCS (EJ)
primary_energy_use_Gas_No_CCS_EJ,Primary Energy Use Gas No CCS (EJ)
primary_energy_use_Gas_Total_EJ_pol,Primary Energy Use Gas Total (EJ)
primary_energy_use_Hydro_EJ,Primary Energy Use Hydro (EJ)
primary_energy_use_Nuclear_EJ,Primary Energy Use Nuclear (EJ)
primary_energy_use_Oil_EJ,Primary Energy Use Oil (EJ)
primary_energy_use_Renewables_EJ,Primary Energy Use Renewables (EJ)
primary_energy_use_Total_EJ,Primary Energy Use Total (EJ)
elec_prod_Biomass_CCS_TWh_pol,Elec Prod Biomass Ccs (TWh)
elec_prod_Biomass_No_CCS_TWh_pol,Elec Prod Biomass No CCS (TWh)
elec_prod_Coal_CCS_TWh_pol,Elec Prod Coal CCS (TWh)
elec_prod_Coal_No_CCS_TWh_pol,Elec Prod Coal No CCS (TWh)
elec_prod_Gas_CCS_TWh_pol,Elec Prod Gas CCS (TWh)
elec_prod_Gas_No_CCS_TWh_pol,Elec Prod Gas No CCS (TWh)
elec_prod_Hydro_TWh_pol,Elec Prod Hydro (TWh)
elec_prod_Nuclear_TWh_pol,Elec Prod Nuclear (TWh)
elec_prod_Oil_TWh_pol,Elec Prod Oil (TWh)
elec_prod_Renewables_TWh_pol,Elec Prod Renewables (TWh)
elec_prod_Total_TWh_pol,Elec Prod Total (TWh)
emissions_CH4_total_million_ton_CO2eq,Emissions CH4 Total (Million Ton CO2eq)
emissions_CO2eq_noLUC_million_ton_CO2eq,Emissions CO2Eq No LUC (Million Ton CO2eq)
emissions_CO2eq_total_million_ton_CO2eq,Emissions CO2eq Total (Million Ton CO2eq)
Emissions_CO2_BECCS_million_ton_CO2,Emissions CO2 BECCS (Million Ton CO2)
emissions_CO2_energy_noBECCS_million_ton_CO2,Emissions CO2 Energy No BECCS (Million Ton CO2)
emissions_CO2_industrial_million_ton_CO2,Emissions CO2 Industrial (Million Ton CO2)
emissions_CO2_LUC_million_ton_CO2,Emissions CO2 LUC (Million Ton CO2)
emissions_CO2_total_million_ton_CO2,Emissions CO2 Total (Million Ton CO2)
emissions_N2O_total_million_ton_CO2eq,Emissions N2O Total (Million Ton CO2eq)
emissions_non-CO2_GHGs_total_million_ton_CO2eq,Emissions Non-CO2 GHGs Total (Million Ton CO2eq)
sectoral_output_Commercial_Residential_billion_USD2007,Sectoral Output Commercial Residential (Billion USD2007)
sectoral_output_Crop_billion_USD2007,Sectoral Output Crop (Billion USD2007)
sectoral_output_Electricity_billion_USD2007,Sectoral Output Electricity (Billion USD2007)
sectoral_output_EnergyIntensiveIndustry_Mining_billion_USD2007,Sectoral Output Energy Intensive Industry Mining (Billion USD2007)
sectoral_output_Forest_billion_USD2007,Sectoral Output Forest (Billion USD2007)
sectoral_output_Other_Manufacturing_billion_USD2007,Sectoral Output Other Manufacturing (Billion USD2007)
sectoral_output_Services_billion_USD2007,Sectoral Output Services (Billion USD2007)
sectoral_output_Transportation_billion_USD2007,Sectoral Output Transportation (Billion USD2007)
sectoral_emi_Commercial_Residential_million_ton_CO2eq,Sectoral Emi Commercial Residential (Million Ton CO2eq)
sectoral_emi_Crop_million_ton_CO2eq,Sectoral Emi Crop (Million Ton CO2eq)
sectoral_emi_Electricity_million_ton_CO2eq,Sectoral Emi Electricity (Million Ton CO2eq)
sectoral_emi_EnergyIntensiveIndustry_Mining_million_ton_CO2eq,Sectoral Emi Energy Intensive Industry Mining (Million Ton CO2eq)
sectoral_emi_Forest_million_ton_CO2eq,Sectoral Emi Forest (Million Ton CO2eq)
sectoral_emi_Other_Manufacturing_million_ton_CO2eq,Sectoral Emi Other Manufacturing (Million Ton CO2eq)
sectoral_emi_Services_million_ton_CO2eq,Sectoral Emi Services (Million Ton CO2eq)
sectoral_emi_Transportation_million_ton_CO2eq,Sectoral Emi Transportation Million Ton CO2eq)
price_carbon_global_USD2007_per_ton_CO2,Price Carbon Global (USD2007 Per Ton CO2)
price_carbon_USD2007_per_ton_CO2,Carbon Price (USD2007 Per Ton CO2)
price_elec_price_index,Elec Price Index
price_food_price_index,Food Price Index
consumption_change_from_Ref_%,Consumption Change From Ref (%)
GDP_change_from_Ref_%,GDP Change From Ref (%)
land_use_change_from_2020_Bioenergy_million_hectares,LUC Bioenergy (Million Hectares)
land_use_change_from_2020_Cropland_million_hectares,LUC Cropland (Million Hectares)
land_use_change_from_2020_Managed_Forest_million_hectares,LUC Managed Forest (Million Hectares)
land_use_change_from_2020_Natural_Forest_million_hectares,LUC Natural Forest (Million Hectares)
land_use_change_from_2020_Natural_Grassland_million_hectares,LUC Natural Grassland (Million Hectares)
land_use_change_from_2020_Other_million_hectares,LUC Other (Million Hectares)
land_use_change_from_2020_Pasture_million_hectares,LUC Pasture (Million Hectares)
land_use_Cropland_million_hectares,LU Cropland (Million Hectares)
land_use_Managed_Forest_million_hectares,LU Managed Forest (Million Hectares)
land_use_Natural_Forest_million_hectares,LU Natural Forest (Million Hectares)
land_use_Natural_Grassland_million_hectares,LU Natural Grassland (Million Hectares)
land_use_Other_million_hectares,LU Other (Million Hectares)
land_use_Pasture_million_hectares,LU Pasture (Million Hectares)
EmissionsIntensityofEnergy_MtCO2eperEJ,Emissions Intensity of Energy (Mt CO2e/EJ)
EmissionsIntensityofGDP_MtCO2eperbillionUSD,Emissions Intensity of GDP (Mt CO2e/Billion USD)
EnergyIntensityofGDP_PJperbillionUSD,Energy Intensity of GDP (PJ/Billion USD)
