Full Output Name,Display Name
sectoral_emi_EnergyIntensiveIndustry_Mining_million_ton_CO2e,Sectoral Emissions Energy Intensive Industry Mining (Million Ton CO2e)
sectoral_output_EnergyIntensiveIndustry_Mining_billion_USD2007,Sectoral Output Energy Intensive Industry Mining (Billion USD2007)
primary_energy_use_Oil_EJ,Primary Energy Use Oil (EJ)
primary_energy_use_Biomass_EJ,Primary Energy Use Biomass (EJ)
primary_energy_use_Hydro_EJ,Primary Energy Use Hydro (EJ)
elec_prod_Coal_CCS_TWh,Coal Electricity Production with CCS (TWh)
elec_prod_Nuclear_TWh,Nuclear Electricity Production (TWh)
CPI_price_index,Consumer Price Index
elec_prod_Renewables_TWh,Renewable Electricity Production (TWh)
Primary_energy_use_Coal_EJ,Primary Energy Use Coal (EJ)
total_emissions_CO2e_million_ton_CO2e,Total Emissions CO2e (Million Ton CO2e)
sectoral_emi_Transportation_million_ton_CO2e,Sectoral Emissions Transportation (Million Ton CO2e)
sectoral_output_Commercial_Residential_billion_USD2007,Commercial Residential Sectoral Output (Billion USD2007)
total_emissions_CO2_million_ton_CO2,Total Emissions CO2 (Million Ton CO2)
carbon_price_USD2007_per_ton_CO2e,Carbon Price (USD2007 per Ton CO2e)
sectoral_emi_Other_Manufacturing_million_ton_CO2e,Sectoral Emissions Other Manufacturing (Million Ton CO2e)
population_million_people,Population (Million People)
elec_prod_Biomass_No_CCS_TWh,Biomass Electricity Production No CCS (TWh)
sectoral_emi_Commercial_Residential_million_ton_CO2e,Sectoral Emissions Commercial Residential (Million Ton CO2e)
elec_prod_Coal_No_CCS_TWh,Coal Electricity Production Without CCS (TWh)
primary_energy_use_Gas_EJ,Primary Energy Use Gas (EJ)
sectoral_emi_Agriculture_million_ton_CO2e,Sectoral Emissions Agriculture (Million Ton CO2e)
sectoral_emi_Electricity_million_ton_CO2e,Sectoral Emissions Electricity (Million Ton CO2e)
primary_energy_use_Renewables_EJ,Renewable Primary Energy Use (EJ)
elec_prod_Hydro_TWh,Hydroelectricity Production (TWh)
sectoral_output_Agriculture_billion_USD2007,Sectoral Output Agriculture (Billion USD2007)
elec_prod_Oil_TWh,Oil Electricity Production (TWh)
elec_prod_Gas_No_CCS_TWh,Gas Electricity Production Without CCS (TWh)
GDP_billion_USD2007,GDP (Billion USD2007)
primary_energy_use_Nuclear_EJ,Primary Energy Use Nuclear (EJ)
sectoral_output_Transportation_billion_USD2007,Sectoral Output Transportation (Billion USD2007)
sectoral_output_Other_Manufacturing_billion_USD2007,Sectoral Output Other Manufacturing (Billion USD2007)
sectoral_output_Electricity_billion_USD2007,Sectoral Output Electricity (Billion USD2007)
